month,sector,failure_rate,avg_transaction_amount
2019-01,"Total",0.01918241496,300.99383443
2019-01,"Electricity and gas",0.011009693663,125.88270604
2019-01,"Fitness facilities",0.031688690758,29.06977034
2019-01,"Loans",0.040884385899,255.79476757
2019-01,"Mortgages",0.010982710144,676.66935889
2019-01,"Water",0.009845549378,38.73080656
2019-01,"Other",0.019361718126,316.70345775
2019-02,"Total",0.015042788393,300.52281405
2019-02,"Electricity and gas",0.008178823623,126.20647518
2019-02,"Fitness facilities",0.025677278044,28.38630045
2019-02,"Loans",0.031042460256,251.10883819
2019-02,"Mortgages",0.00654490883,676.99048601
2019-02,"Water",0.00684666658,38.18528807
2019-02,"Other",0.015300903745,316.10249227
2019-03,"Total",0.01561072196,311.05125876
2019-03,"Electricity and gas",0.009860541245,126.36240059
2019-03,"Fitness facilities",0.030500242487,28.4525
2019-03,"Loans",0.034576205805,315.84622743
2019-03,"Mortgages",0.00849477771,678.46590638
2019-03,"Water",0.006229361733,44.66251301
2019-03,"Other",0.015701924616,326.73751686
2019-04,"Total",0.016074973092,302.11463432
2019-04,"Electricity and gas",0.01099335011,130.03980867
2019-04,"Fitness facilities",0.031690881249,28.41870816
2019-04,"Loans",0.035481923802,311.50460962
2019-04,"Mortgages",0.008089808262,678.8524942
2019-04,"Water",0.007412694923,42.55901095
2019-04,"Other",0.016191734181,317.4855634
2019-05,"Total",0.015814274307,295.66170719
2019-05,"Electricity and gas",0.009222187269,116.87417093
2019-05,"Fitness facilities",0.02927985895,28.35027787
2019-05,"Loans",0.03322508486,257.80097026
2019-05,"Mortgages",0.008137193405,675.92453825
2019-05,"Water",0.00761659737,41.08096818
2019-05,"Other",0.016039946348,313.5872377
2019-06,"Total",0.015704035306,304.43365049
2019-06,"Electricity and gas",0.009781910002,122.9294759
2019-06,"Fitness facilities",0.030491431688,28.98574615
2019-06,"Loans",0.033208565094,286.62678941
2019-06,"Mortgages",0.007701256181,686.78369657
2019-06,"Water",0.007094556148,41.66290387
